Canande,Durango,Jorupe,Lalo,Mashpi,Sumaco,Yasuni
1,6,5,178,0,0,7
0,0,0,0,0,22,0
0,0,0,0,0,7,0
0,0,0,0,0,0,0
0,0,0,0,0,0,32
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,39,0
0,0,0,0,0,0,19
0,2,0,0,0,0,50
0,0,0,0,0,0,31
0,0,0,0,0,0,0
0,0,0,0,0,3,0
0,3,0,0,0,0,13
0,0,0,0,12,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,6
0,2,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,8,0,0,29
0,0,0,0,0,0,4
0,0,0,0,3,60,0
0,0,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,4,0
0,0,0,0,0,0,34
0,0,0,0,0,0,7
0,0,0,0,0,0,51
1,0,0,0,0,0,19
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,2,0
0,0,0,0,0,0,0
2,1,0,0,1,0,0
0,0,0,0,0,0,27
0,0,0,0,0,0,2
0,0,0,0,1,0,0
0,0,0,0,0,2,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,9
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,1,0,0,5,4,0
0,0,0,0,0,0,0
1,3,0,0,0,0,0
0,0,0,0,0,0,2
1,0,0,0,0,0,0
0,0,0,3,0,0,0
0,0,0,0,0,0,79
0,0,0,0,0,0,1
0,0,0,0,0,0,3
0,0,0,0,0,2,0
0,0,0,2,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,32
0,0,0,0,0,0,2
1,6,0,0,9,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,0,0,0,1
1,1,0,0,3,4,11
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,1,0,0,0,0
0,0,11,30,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,2,8
5,5,0,0,0,0,0
2,9,6,21,1,3,172
0,2,1,0,0,0,17
0,0,0,0,0,0,27
0,0,0,0,0,0,3
0,0,0,0,0,0,2
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,23
1,1,4,0,0,0,0
0,0,3,1,0,0,0
0,0,0,1,0,0,0
0,0,1,2,1,0,0
0,0,0,3,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,166
0,0,0,0,0,0,1
0,0,0,1,0,0,0
1,0,0,0,6,0,0
0,0,0,0,0,0,0
5,8,0,11,0,1,0
0,0,1,0,0,0,0
3,0,0,0,0,0,0
0,2,0,0,2,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,2,0,5
0,0,0,0,0,0,6
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,9,0
1,0,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,53
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,4
1,0,0,0,0,0,0
0,0,0,0,0,0,14
0,0,0,0,3,0,1
0,0,0,2,0,0,0
0,0,0,2,0,0,0
0,0,0,0,0,0,71
0,3,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,6
0,0,0,0,0,0,29
0,0,0,0,0,0,23
9,15,0,0,1,0,0
0,0,0,0,0,0,31
1,0,0,0,0,0,5
0,0,0,0,0,0,0
0,0,0,0,0,0,178
0,0,0,0,0,195,0
0,2,0,1,11,0,226
0,21,0,0,0,0,0
0,0,0,0,0,0,4
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,5
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
2,7,0,0,0,0,6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,7
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,6
0,1,88,0,0,0,0
0,0,0,0,0,0,5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,3
0,14,0,0,0,5,95
1,3,0,17,0,0,22
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,0,2,5,0,0,7
4,37,0,1,4,0,0
0,0,0,0,0,1,0
0,0,0,0,0,6,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,4,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,9,0,0,0,0
0,10,0,0,33,0,1
0,0,0,0,1,0,0
2,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,31
0,0,0,0,0,0,0
0,0,0,0,0,0,7
0,0,0,0,0,0,0
0,0,0,0,0,0,4
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,71
0,0,0,0,0,6,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,4
0,0,3,2,0,0,0
0,0,0,0,0,0,24
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,31,179
29,58,0,0,0,1,0
2,39,0,1,0,0,0
8,0,0,0,0,0,0
0,0,0,9,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,307
0,0,0,0,0,0,0
0,0,0,0,0,0,17
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,51,36,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,4
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,55
0,0,0,0,2,0,0
0,1,0,0,0,0,0
0,0,0,0,0,2,0
1,0,0,2,0,0,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,1,0,0,5,0,0
0,0,0,0,0,22,0
0,0,0,0,2,43,3
0,6,0,0,1,0,0
0,0,0,0,1,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,9
0,0,0,0,0,16,0
0,0,0,0,0,0,32
0,0,0,0,0,54,0
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,7
1,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,13,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,42
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,9,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,2
0,0,0,0,5,0,0
0,0,0,0,0,0,0
0,0,0,0,3,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,4
0,3,0,0,0,0,0
0,0,0,0,0,0,5
0,0,0,0,0,0,10
0,0,0,0,0,0,3
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,14
0,0,0,0,0,0,3
0,0,0,0,0,0,4
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,9
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,3
0,0,0,0,0,0,2
0,0,0,0,0,0,13
0,0,0,0,0,0,5
0,0,0,0,0,0,10
0,0,0,0,0,0,0
0,0,0,0,0,0,12
0,0,0,0,0,0,6
0,0,0,0,0,0,11
0,0,0,0,0,0,2
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,16
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,79
0,0,0,0,0,0,0
0,0,0,0,0,157,0
0,0,0,0,0,183,0
0,0,0,0,0,0,15
0,0,0,0,0,28,0
0,0,0,0,0,21,0
1,38,202,59,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,0
0,3,0,0,0,0,0
0,4,0,0,0,0,0
0,0,121,1,0,0,0
0,0,3,0,0,0,0
0,0,0,0,0,0,65
0,0,0,0,0,0,3
0,0,0,0,0,0,15
0,0,35,0,0,32,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,22,0
1,0,0,0,0,0,0
0,7,0,0,0,0,10
0,0,0,0,6,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,29,3
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,4,0
0,0,0,0,0,0,0
0,0,0,0,0,0,4
0,0,0,0,6,0,0
0,0,0,0,0,425,24
0,0,0,0,0,0,18
0,27,14,1,0,1698,475
0,32,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,4
0,0,0,0,0,0,2
0,0,0,0,0,0,7
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0,0,0,0,0,0,16
0,0,0,0,0,0,9
0,0,0,0,0,0,1
0,0,0,0,0,0,5
0,0,0,0,0,0,3
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,13
0,0,0,0,0,0,2
0,0,0,0,0,0,6
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0,0,0,0,0,0,2
0,0,0,0,0,0,7
0,0,0,0,0,0,1
0,0,0,0,0,0,4
0,0,0,0,0,0,5
0,0,0,0,0,0,4
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,0,0,0,0,0,5
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0,0,0,0,0,0,5
0,0,0,0,0,0,1
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,0,0,0,0,0,3
0,0,0,0,0,0,6
0,0,0,0,0,0,1
0,0,0,0,17,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,2,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,4,0,0
0,0,0,0,3,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,2,0,0
0,0,0,0,2,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,4
0,61,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,27
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,5,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,4
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,5
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,35,0
0,0,0,0,0,6,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,1,1061,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,2,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,3,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,1
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
3,1,0,0,2,26,75
0,0,2,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,5
0,0,0,0,0,0,0
0,0,0,0,0,2,256
0,0,0,0,0,4,0
0,0,0,0,0,0,0
0,0,0,2,0,0,0
1,0,0,0,9,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,11
0,0,0,0,13,0,0
0,0,0,0,0,0,0
13,82,0,0,2,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,30,0,0,2,0,4
0,72,0,0,0,0,0
0,0,0,0,0,18,0
0,0,0,0,2,0,0
0,0,0,1,0,1,0
0,0,0,0,3,0,74
3,1,0,0,0,0,0
0,0,0,0,0,3,38
0,0,5,0,11,0,0
0,0,0,0,0,0,6
0,0,0,0,0,0,14
0,0,0,0,0,2,0
0,0,0,0,0,0,116
0,0,0,0,0,0,5
0,0,0,0,0,0,2
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,4,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,2
0,5,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,18
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,1,0,2,0,0,26
0,0,0,0,0,0,7
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,362
0,0,0,10,0,0,0
0,6,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,1,0,4
0,0,0,0,0,0,3
0,0,0,0,0,0,7
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,2,0
0,7,0,0,2,0,0
0,0,0,0,0,5,0
0,1,0,0,0,0,0
0,0,0,0,0,0,2
28,26,0,0,1,0,0
0,0,0,0,0,1,78
0,0,0,0,0,0,53
0,0,0,0,0,0,19
0,3,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,2,0,0,8
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,0,5
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,17,18
19,0,0,1,0,0,0
0,46,0,0,0,3,586
0,2,0,0,3,0,46
1,4,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,0,0,0,0,54,0
0,0,12,15,0,0,0
0,0,0,0,0,0,15
0,0,0,0,0,0,56
0,0,0,0,0,0,6
0,0,0,0,0,0,2
0,0,0,0,4,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,9
0,0,0,0,0,0,0
0,0,0,0,0,0,51
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,75,0
0,0,0,0,0,0,18
0,0,0,0,0,0,1
0,0,0,3,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,9,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,2,2,2,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,1,0,1
0,0,0,0,0,0,22
0,0,0,0,0,0,5
0,0,0,0,1,0,0
0,0,0,0,0,0,3
1,5,0,1,0,0,67
0,0,0,0,0,0,4
1,0,0,0,0,0,0
0,0,0,0,0,0,6
0,0,0,0,0,0,12
0,2,0,0,1,0,0
0,0,0,0,0,28,0
0,0,0,0,0,22,0
0,0,0,0,0,0,0
0,0,0,0,3,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,12,0,0,0,0,8
2,0,0,0,0,0,173
0,0,0,0,0,13,66
0,0,0,0,0,0,45
7,36,0,0,13,0,443
1,3,0,0,0,0,35
0,0,0,0,2,75,0
1,4,0,0,0,0,95
0,0,0,0,0,0,3
0,0,0,0,0,0,1
0,0,0,0,0,0,7
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,41
0,1,0,0,0,0,1
0,0,0,0,0,0,0
1,0,1,3,0,0,11
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,19,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,93,0
0,0,0,0,0,0,8
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,30,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,5,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,55,1,0,26,11
0,0,0,1,0,0,0
0,0,4,0,0,91,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,0,0,0,0,0,23
0,5,0,0,0,1,510
0,11,0,0,2,0,62
0,0,0,0,0,0,2
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,1,0,0,0,0,0
1,13,0,0,0,0,127
0,0,0,0,0,0,0
0,0,0,2,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,2,0,0,1,0
0,0,6,0,0,0,0
0,4,0,0,0,0,0
0,0,0,0,0,8,0
0,0,0,0,0,1,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,1,28
0,0,0,0,0,0,6
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,3,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,5,0,0,0,0,0
0,0,0,0,3,0,0
3,10,0,0,0,0,252
0,0,0,0,0,0,39
0,0,0,0,6,0,0
0,0,0,0,15,0,0
0,0,0,0,0,0,0
