trap,strata,acesta,acheronta,aglaura,amphichloe,amphimachus,amphinome,amphiro,annulata,antonoe,arinome,arnaca,atacama,atreus,blomfildia,brasiliensis,camilla,cassina,cassina2,cassina3,chaeronea,chlororhoa,cleomestra,cocala,confusa,demophon,demophoon,dexamenus,dirce,erotia,erycinoides,gerdrudtus,glauce,guatemalena,helvina,illinissa,inani,isidora,laertes,laodamia,laothoe,leuceria,lindigii,luna,lyca,maculata,marchalii,mora,moruus,mycalesis,nenia,numilia,occirhoe,odius,orgetorix,orites,philipponi,phylaca,piera,pireta,polita,pseudoconfusa,pterocopha,pulchra,puritana,ryphea,salmoneus,serpa,sp1,stelenes,sydonia,tamarindi,theseus,werneri,xanthicles,zelica,zeuxippus
2a,canopy,3,0,0,0,0,3,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a,canopy,3,0,6,0,1,26,0,1,1,0,0,2,0,5,0,1,1,0,2,0,0,1,0,1,1,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
6a,canopy,7,1,1,4,0,14,0,0,3,1,0,0,0,7,0,0,1,0,0,0,0,3,0,3,2,2,0,2,0,1,0,1,0,0,0,0,0,2,4,1,0,0,0,0,3,1,0,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8a,canopy,8,0,3,1,0,25,0,1,2,0,0,3,0,4,0,0,0,0,1,0,0,5,0,0,0,0,1,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
2b,canopy,6,0,5,0,1,6,0,0,2,0,0,4,0,2,0,2,0,0,0,0,0,1,0,3,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4b,canopy,1,0,2,0,0,19,0,0,5,0,0,5,0,10,0,1,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6b,canopy,4,0,5,0,1,15,0,1,1,1,0,2,0,13,0,2,0,1,2,1,0,18,0,4,3,1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,1,0,0,0,3,1,3,0,1,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0
8b,canopy,4,0,9,0,0,26,1,2,6,0,0,0,0,20,0,1,0,0,0,0,0,8,0,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
2a,understorey,2,0,2,0,0,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a,understorey,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6a,understorey,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8a,understorey,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2b,understorey,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4b,understorey,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6b,understorey,3,0,2,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8b,understorey,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
